# address	flags	name   (generated by lifted_oracle_plan.py)
0x0060fee0	extcall,fs,iat,indirect,x87	?attach@thunk1_CheckBox@@QAEHPAUGraphicWin@@HHH@Z
0x0060fef0	extcall,fs,iat,indirect,x87	?on_redraw@thunk3_CheckBox@@QAEXXZ
0x0060ff00	extcall,fs,iat,indirect,x87	??0SpriteBox@@QAE@H@Z
0x00610120	extcall,fs,iat,indirect,x87	??1SpriteBox@@QAE@XZ
0x00610280	extcall,fs,iat,indirect,x87	?close@SpriteBox@@QAEXXZ
0x00610420	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHH@Z
0x00610440	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHHHHHH@Z
0x00610480	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHPAURECT@@H@Z
0x006104b0	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHPAUHeap@@@Z
0x006104d0	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHHHHHPAUHeap@@@Z
0x00610510	extcall,fs,iat,indirect,x87	?init@SpriteBox@@QAEHPAUHeap@@PAUHeap@@@Z
0x00610540	extcall,fs,iat,indirect,x87	?attach@SpriteBox@@QAEHPAUGraphicWin@@HHH@Z
0x006108e0	extcall,iat,indirect,undef=4	?sprite@SpriteBox@@QAEHPAUSprite@@PADH@Z
0x00610970	extcall,iat,indirect,undef=4	?calculate_dimensions@SpriteBox@@QAEHXZ
0x00610c50	extcall,fs,iat,indirect,x87	?draw_item@SpriteBox@@QAEXH@Z
0x00611040	ok	?on_mouse_move@SpriteBox@@QAEXHH@Z
0x00611050	ok	?on_mouse_leave@SpriteBox@@QAEXHH@Z
0x00611060	extcall,fs,iat,indirect,undef=4,x87	?on_left_click@SpriteBox@@QAEXHH@Z
0x00611150	iat,indirect,undef=4	?on_left_down@SpriteBox@@QAEXHH@Z
0x006111a0	iat,indirect,undef=4	?on_left_up@SpriteBox@@QAEXHH@Z
0x006111f0	iat,indirect,undef=4	?on_right_click@SpriteBox@@QAEXHH@Z
