source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404760,0x0040476A,10,0x00404760-0x0040476A,unknown_libname_19,void __cdecl unknown_libname_19();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404770,0x00404786,22,0x00404770-0x00404786,sub_404770,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404790,0x0040479A,10,0x00404790-0x0040479A,unknown_libname_20,void __cdecl unknown_libname_20();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004047A0,0x004047B6,22,0x004047A0-0x004047B6,sub_4047A0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004047C0,0x004047CA,10,0x004047C0-0x004047CA,unknown_libname_21,void __cdecl unknown_libname_21();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004047D0,0x004047E6,22,0x004047D0-0x004047E6,sub_4047D0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004047F0,0x004047FA,10,0x004047F0-0x004047FA,unknown_libname_22,void __cdecl unknown_libname_22();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404800,0x00404816,22,0x00404800-0x00404816,sub_404800,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404820,0x0040482A,10,0x00404820-0x0040482A,unknown_libname_23,void __cdecl unknown_libname_23();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404830,0x00404846,22,0x00404830-0x00404846,sub_404830,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404850,0x0040485A,10,0x00404850-0x0040485A,unknown_libname_24,void __cdecl unknown_libname_24();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404860,0x00404896,54,0x00404860-0x00404896,sub_404860,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004048A0,0x004048F7,105,0x004048A0-0x004048F7;0x00650760-0x00650772,sub_4048A0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404900,0x00404917,23,0x00404900-0x00404917,sub_404900,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404920,0x00404A7C,348,0x00404920-0x00404A7C,sub_404920,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404A80,0x00404AFF,127,0x00404A80-0x00404AFF,sub_404A80,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404B00,0x00404B05,5,0x00404B00-0x00404B05,sub_404B00,,0x5480,thunk
