class,offset,name,size,type
AlphaNet,0xDDC,field_DDC,4,
AlphaNet,0xDE0,field_DE0,4,
AlphaNet,0xDE4,field_DE4,4,
AlphaNet,0xDE8,field_DE8,4,
AlphaNet,0xDEC,field_DEC,4,
AlphaNet,0xDF0,field_DF0,4,
AlphaNet,0xDF4,field_DF4,4,
AlphaNet,0xDF8,field_DF8,4,
AlphaNet,0xDFC,field_DFC,4,
AlphaNet,0xE00,field_E00,4,
AlphaNet,0xE04,field_E04,4,
AlphaNet,0xE08,field_E08,4,
AlphaNet,0xE0C,field_E0C,4,
AlphaNet,0xE10,field_E10,4,
AlphaNet,0xE14,field_E14,4,
AlphaNet,0xE18,field_E18,4,
AlphaNet,0xE1C,field_E1C,4,
AlphaNet,0xE20,field_E20,4,
AlphaNet,0xE24,field_E24,4,
AlphaNet,0xE28,field_E28,4,
AlphaNet,0xE2C,field_E2C,4,
AlphaNet,0xE30,field_E30,4,
AlphaNet,0xE34,field_E34,4,
AlphaNet,0xE38,field_E38,4,
AlphaNet,0xE3C,field_E3C,4,
AlphaNet,0xE40,field_E40,4,
AlphaNet,0xE44,field_E44,4,
AlphaNet,0xE48,field_E48,4,
AlphaNet,0xE4C,field_E4C,4,
AlphaNet,0xE50,field_E50,4,
AlphaNet,0xE54,field_E54,4,
AlphaNet,0xE58,field_E58,4,
AlphaNet,0xE5C,field_E5C,4,
AlphaNet,0xE60,field_E60,4,
AlphaNet,0xE64,field_E64,4,
AlphaNet,0xE68,field_E68,4,
AlphaNet,0xE6C,field_E6C,4,
AlphaNet,0xE70,field_E70,4,
AlphaNet,0xE74,field_E74,4,
AlphaNet,0xE78,field_E78,4,
AlphaNet,0xE7C,field_E7C,4,
AlphaNet,0xE80,field_E80,4,
AlphaNet,0xE84,field_E84,4,
AlphaNet,0xE88,field_E88,4,
AlphaNet,0xE8C,field_E8C,4,
AlphaNet,0xE90,field_E90,4,
AlphaNet,0xE94,field_E94,4,
AlphaNet,0xE98,field_E98,4,
AlphaNet,0xE9C,field_E9C,4,
AlphaNet,0xEA0,field_EA0,4,
AlphaNet,0xEA4,field_EA4,4,
AlphaNet,0xEA8,field_EA8,4,
AlphaNet,0xEAC,field_EAC,4,
AlphaNet,0xEB0,field_EB0,4,
AlphaNet,0xEB4,field_EB4,4,
AlphaNet,0xEB8,field_EB8,4,
AlphaNet,0xEBC,field_EBC,4,
AlphaNet,0xEC0,field_EC0,4,
AlphaNet,0xEC4,field_EC4,4,
AlphaNet,0xEC8,field_EC8,4,
AlphaNet,0xECC,field_ECC,4,
AlphaNet,0xED0,field_ED0,4,
AlphaNet,0xED4,field_ED4,4,
AlphaNet,0xED8,field_ED8,4,
AlphaNet,0xEDC,field_EDC,4,
AlphaNet,0xEE0,field_EE0,4,
AlphaNet,0xEE4,field_EE4,4,
AlphaNet,0xEE8,field_EE8,4,
AlphaNet,0xEEC,field_EEC,4,
AlphaNet,0xEF0,field_EF0,4,
AlphaNet,0xEF4,field_EF4,4,
AlphaNet,0xEF8,field_EF8,4,
AlphaNet,0xEFC,field_EFC,4,
AlphaNet,0xF00,field_F00,4,
AlphaNet,0xF04,field_F04,4,
AlphaNet,0xF08,field_F08,4,
AlphaNet,0xF0C,field_F0C,4,
AlphaNet,0xF10,field_F10,4,
AlphaNet,0xF14,field_F14,4,
AlphaNet,0xF18,field_F18,4,
AlphaNet,0xF1C,field_F1C,4,
AlphaNet,0xF20,field_F20,4,
AlphaNet,0xF24,field_F24,4,
AlphaNet,0xF28,field_F28,4,
AlphaNet,0xF2C,field_F2C,4,
AlphaNet,0xF30,field_F30,4,
AlphaNet,0xF34,field_F34,4,
AlphaNet,0xF38,field_F38,4,
AlphaNet,0xF3C,field_F3C,4,
AlphaNet,0xF40,field_F40,4,
AlphaNet,0xF44,field_F44,4,
AlphaNet,0xF48,field_F48,4,
AlphaNet,0xF4C,field_F4C,4,
AlphaNet,0xF50,field_F50,4,
AlphaNet,0xF54,field_F54,4,
AlphaNet,0xF58,field_F58,4,
AlphaNet,0xF5C,field_F5C,4,
AlphaNet,0xF60,field_F60,4,
AlphaNet,0xF64,field_F64,4,
AlphaNet,0xF68,field_F68,4,
AlphaNet,0xF6C,field_F6C,4,
AlphaNet,0xF70,field_F70,4,
AlphaNet,0xF74,field_F74,4,
AlphaNet,0xF78,field_F78,4,
AlphaNet,0xF7C,field_F7C,4,
AlphaNet,0xF80,field_F80,4,
AlphaNet,0xF84,field_F84,4,
AlphaNet,0xF88,field_F88,4,
AlphaNet,0xF8C,field_F8C,4,
AlphaNet,0xF90,field_F90,4,
AlphaNet,0xF94,field_F94,4,
AlphaNet,0xF98,field_F98,4,
AlphaNet,0xF9C,field_F9C,4,
AlphaNet,0xFA0,field_FA0,4,
AlphaNet,0xFA4,field_FA4,4,
AlphaNet,0xFA8,field_FA8,4,
AlphaNet,0xFAC,field_FAC,4,
AlphaNet,0xFB0,field_FB0,4,
AlphaNet,0xFB4,field_FB4,4,
AlphaNet,0xFB8,field_FB8,4,
AlphaNet,0xFBC,field_FBC,4,
AlphaNet,0xFC0,field_FC0,4,
AlphaNet,0xFC4,field_FC4,4,
AlphaNet,0xFC8,field_FC8,4,
AlphaNet,0xFCC,field_FCC,4,
AlphaNet,0xFD0,field_FD0,4,
AlphaNet,0xFD4,field_FD4,4,
AlphaNet,0xFD8,field_FD8,4,
AlphaNet,0xFDC,field_FDC,4,
AlphaNet,0xFE0,field_FE0,4,
AlphaNet,0xFE4,field_FE4,4,
AlphaNet,0xFE8,field_FE8,4,
AlphaNet,0xFEC,field_FEC,4,
AlphaNet,0xFF0,field_FF0,4,
