address,name,source_location,generated,size,span_classes,tier,original_bytes,rebuilt_bytes,original_mnemonics,rebuilt_mnemonics,first_divergence,note,refusal_reason
0x006161D0,??0Time@@QAE@XZ,,0,38,,REFUSED,,,,,,,no source_locations; not censusable
0x00616200,??1Time@@QAE@XZ,,0,96,,REFUSED,,,,,,,no source_locations; not censusable
0x00616260,?init@Time@@QAEXP6AXH@ZHHH@Z,src/time.cpp:27,0,110,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616260.cpp(67) : error C2511: 'init' : overloaded member function 'void (void (__cdecl *)(int),int,unsigned int,unsigned int)' not found in 'Time'
u00616260.cpp(47) : see declaration of 'Time'"
0x006162D0,?init@Time@@QAEXP6AXHH@ZHHHH@Z,src/time.cpp:46,0,114,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006162d0.cpp(68) : error C2511: 'init' : overloaded member function 'void (void (__cdecl *)(int,int),int,int,unsigned int,unsigned int)' not found in 'Time'
u006162d0.cpp(47) : see declaration of 'Time'"
0x00616350,?start@Time@@QAEXP6AXH@ZHHH@Z,src/time.cpp:66,0,181,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616350.cpp(71) : error C2511: 'start' : overloaded member function 'unsigned int (void (__cdecl *)(int),int,unsigned int,unsigned int)' not found in 'Time'
u00616350.cpp(51) : see declaration of 'Time'"
0x00616410,?start@Time@@QAEXP6AXHH@ZHHHH@Z,src/time.cpp:87,0,186,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616410.cpp(72) : error C2511: 'start' : overloaded member function 'unsigned int (void (__cdecl *)(int,int),int,int,unsigned int,unsigned int)' not found in 'Time'
u00616410.cpp(51) : see declaration of 'Time'"
0x006164D0,?pulse@Time@@QAEXP6AXH@ZHHH@Z,src/time.cpp:109,0,181,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006164d0.cpp(71) : error C2511: 'pulse' : overloaded member function 'unsigned int (void (__cdecl *)(int),int,unsigned int,unsigned int)' not found in 'Time'
u006164d0.cpp(51) : see declaration of 'Time'"
0x00616590,?pulse@Time@@QAEXP6AXHH@ZHHHH@Z,src/time.cpp:133,0,189,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616590.cpp(72) : error C2511: 'pulse' : overloaded member function 'unsigned int (void (__cdecl *)(int,int),int,int,unsigned int,unsigned int)' not found in 'Time'
u00616590.cpp(51) : see declaration of 'Time'"
0x00616650,?start@Time@@QAEXXZ,src/time.cpp:155,0,106,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616650.cpp(66) : error C2556: 'unsigned int __thiscall Time::start(void)' : overloaded function differs only by return type from 'void __thiscall Time::start(void)'
u00616650.cpp(58) : see declaration of 'start'
u00616650.cpp(66) : error C2371: 'start' : redefinition; different basic types
u00616650.cpp(58) : see declaration of 'start'
u00616650.cpp(72) : error C2065: 'timeSetEvent' : undeclared identifier
u00616650.cpp(72) : error C2065: 'LPTIMECALLBACK' : undeclared identifier
u00616650.cpp(72) : error C2146: syntax error : missing ')' before identifier 'MultimediaProc'
u00616650.cpp(73) : error C2059: syntax error : ')'
u00616650.cpp(75) : error C2065: 'SetTimer' : undeclared identifier
u00616650.cpp(75) : error C2065: 'HandleMain' : undeclared identifier
u00616650.cpp(75) : error C2100: illegal indirection
u00616650.cpp(75) : error C2065: 'TIMERPROC' : undeclared identifier
u00616650.cpp(75) : error C2146: syntax error : missing ')' before identifier 'TimerProc'
u00616650.cpp(75) : error C2059: syntax error : ')'"
0x006166C0,?pulse@Time@@QAEXXZ,src/time.cpp:175,0,108,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006166c0.cpp(66) : error C2556: 'unsigned int __thiscall Time::pulse(void)' : overloaded function differs only by return type from 'void __thiscall Time::pulse(void)'
u006166c0.cpp(58) : see declaration of 'pulse'
u006166c0.cpp(66) : error C2371: 'pulse' : redefinition; different basic types
u006166c0.cpp(58) : see declaration of 'pulse'
u006166c0.cpp(71) : error C2065: 'timeSetEvent' : undeclared identifier
u006166c0.cpp(71) : error C2065: 'LPTIMECALLBACK' : undeclared identifier
u006166c0.cpp(71) : error C2146: syntax error : missing ')' before identifier 'MultimediaProc'
u006166c0.cpp(72) : error C2059: syntax error : ')'
u006166c0.cpp(75) : error C2065: 'SetTimer' : undeclared identifier
u006166c0.cpp(75) : error C2065: 'HandleMain' : undeclared identifier
u006166c0.cpp(75) : error C2100: illegal indirection
u006166c0.cpp(75) : error C2065: 'TIMERPROC' : undeclared identifier
u006166c0.cpp(75) : error C2146: syntax error : missing ')' before identifier 'TimerProc'
u006166c0.cpp(75) : error C2059: syntax error : ')'"
0x00616730,?stop@Time@@QAEXXZ,src/time.cpp:195,0,66,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616730.cpp(67) : error C2065: 'timeKillEvent' : undeclared identifier
u00616730.cpp(69) : error C2065: 'KillTimer' : undeclared identifier
u00616730.cpp(69) : error C2065: 'HandleMain' : undeclared identifier
u00616730.cpp(69) : error C2100: illegal indirection
u00616730.cpp(74) : error C2065: 'flush_timer' : undeclared identifier"
0x00616780,?close@Time@@QAEXXZ,src/time.cpp:215,0,96,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,u00616780.cpp(68) : error C2065: 'stop' : undeclared identifier
0x006167E0,?TimerProc@Time@@QAEXPAXIIK@Z,src/time.cpp:234,0,60,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006167e0.cpp(64) : error C2065: 'HWND' : undeclared identifier
u006167e0.cpp(64) : error C2146: syntax error : missing ')' before identifier 'UNUSED'
u006167e0.cpp(64) : error C2182: 'TimerProc' : illegal use of type 'void'
u006167e0.cpp(64) : error C2350: 'Time::TimerProc' is not a static member
u006167e0.cpp(65) : error C2059: syntax error : ')'
u006167e0.cpp(65) : error C2143: syntax error : missing ';' before '{'
u006167e0.cpp(65) : error C2447: missing function header (old-style formal list?)"
0x00616820,?MultimediaProc@Time@@QAEXIIKKK@Z,src/time.cpp:249,0,60,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616820.cpp(64) : error C2061: syntax error : identifier 'timer_id'
u00616820.cpp(64) : error C2061: syntax error : identifier 'msg'
u00616820.cpp(64) : error C2086: 'UNUSED' : redefinition
u00616820.cpp(64) : error C2061: syntax error : identifier 'DWORD_PTR'
u00616820.cpp(65) : error C2511: 'MultimediaProc' : overloaded member function 'void (unsigned int (__cdecl *)(void))' not found in 'Time'
u00616820.cpp(44) : see declaration of 'Time'"
0x00616860,?set_modal@Time@@QAAXXZ,,0,7,,REFUSED,,,,,,,no source_locations; not censusable
0x00616870,?release_modal@Time@@QAAXXZ,,0,11,,REFUSED,,,,,,,no source_locations; not censusable
0x00616880,?init_class@Time@@QAAHXZ,,0,14,,REFUSED,,,,,,,no source_locations; not censusable
0x00616890,?close_class@Time@@QAAXXZ,,0,7,,REFUSED,,,,,,,no source_locations; not censusable
0x006168A0,??__EStringTable@@YAXXZ,src/init_thunks.cpp:4466,1,22,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006168a0.cpp(80) : error C2065: 'StringTable' : undeclared identifier
u006168a0.cpp(80) : error C2065: 'StringsInitCtor' : undeclared identifier
u006168a0.cpp(80) : error C2297: '->*' : illegal, right operand has type 'int'
u006168a0.cpp(81) : error C2065: 'GameAtexit' : undeclared identifier
u006168a0.cpp(81) : error C2061: syntax error : identifier 'func_atexit_callback'"
0x006168C0,??__FStringTable@@YAXXZ,src/atexit_thunks.cpp:4146,1,10,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006168c0.cpp(63) : error C2065: 'StringsDtorTarget' : undeclared identifier
u006168c0.cpp(63) : error C2297: '->*' : illegal, right operand has type 'int'
Generating Code...
Compiling..."
0x006168D0,??0Strings@@QAE@XZ,,0,19,,REFUSED,,,,,,,no source_locations; not censusable
0x006168F0,?init@Strings@@QAEHH@Z,src/strings.cpp:23,0,96,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006168f0.cpp(75) : error C2511: 'init' : overloaded member function 'int (unsigned int)' not found in 'Strings'
u006168f0.cpp(59) : see declaration of 'Strings'"
0x00616950,?shutdown@Strings@@QAEHXZ,src/strings.cpp:41,0,19,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616950.cpp(66) : error C2556: 'void __thiscall Strings::shutdown(void)' : overloaded function differs only by return type from 'int __thiscall Strings::shutdown(void)'
u00616950.cpp(58) : see declaration of 'shutdown'
u00616950.cpp(66) : error C2371: 'shutdown' : redefinition; different basic types
u00616950.cpp(58) : see declaration of 'shutdown'
u00616950.cpp(67) : error C2039: 'shutdown' : is not a member of 'Heap'
u00616950.cpp(40) : see declaration of 'Heap'
u00616950.cpp(67) : error C2264: 'shutdown' : error in function definition or declaration; function not called"
0x00616970,?put@Strings@@QAEHPAD@Z,src/strings.cpp:52,0,45,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00616970.cpp(70) : error C2511: 'put' : overloaded member function 'char *(const char *)' not found in 'Strings'
u00616970.cpp(52) : see declaration of 'Strings'"
0x006169A0,?get@Strings@@QAEHH@Z,src/strings.cpp:65,0,27,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006169a0.cpp(55) : error C2556: 'char *__thiscall Strings::get(int)' : overloaded function differs only by return type from 'int __thiscall Strings::get(int)'
u006169a0.cpp(46) : see declaration of 'get'
u006169a0.cpp(55) : error C2040: 'get' : 'char *(int)' differs in levels of indirection from 'int (int)'
u006169a0.cpp(56) : error C2065: 'get_base' : undeclared identifier
u006169a0.cpp(56) : error C2446: '>' : no conversion from 'int' to 'void *'
Conversion from integral type to pointer type requires reinterpret_cast, C-style cast or function-style cast
u006169a0.cpp(56) : error C2040: '>' : 'void *' differs in levels of indirection from 'int'
u006169a0.cpp(58) : error C2065: 'get_base_size' : undeclared identifier
u006169a0.cpp(59) : error C2065: 'NULL' : undeclared identifier
u006169a0.cpp(59) : error C2446: ':' : no conversion from 'int' to 'char *'
Conversion from integral type to pointer type requires reinterpret_cast, C-style cast or function-style cast"
0x006169C0,??1Strings@@QAE@XZ,,0,5,,REFUSED,,,,,,,no source_locations; not censusable
