verdict,class,offset,built,detail,evidence
at-zero,FameWin,0x0,GraphicWin,src/ bases: [],?close@FameWin@@QAEXXZ: call ?close@GraphicWin@@QAEXXZ on this+0x0 at 0x00448D7A
agreed,FameWin,0xA50,Spot,spot_ 0xC,??1FameWin@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0xA50 at 0x0044B1DC
agreed,FameWin,0x5970,ButtonGroup,buttonGroup_ 0x94,??1FameWin@@QAE@XZ: call ?close@ButtonGroup@@QAEXXZ on this+0x5970 at 0x0044B1B1
agreed,FameWin,0x9DCC,FlatButton,flatButton3_ 0xB4C,??1FameWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x9DCC at 0x0044B17B
agreed,FameWin,0xA91C,Buffer,buffer1_ 0x588,?close@FameWin@@QAEXXZ: call ?close@Buffer@@QAEXXZ on this+0xA91C at 0x00448D69
agreed,FameWin,0xAEA4,Buffer,buffer2_ 0x588,??1FameWin@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0xAEA4 at 0x0044B148
absent,FileWin,0x660,FlatButton,0xB4C bytes,??0FileWin@@QAE@XZ: call ??0FlatButton@@QAE@XZ on this+0x660 at 0x00613874
absent,FileWin,0x11AC,FlatButton,0xB4C bytes,??1FileWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x11AC at 0x00407FAE
absent,FileWin,0x1CF8,EditBox,0xB74 bytes,??1FileWin@@QAE@XZ: call ?close@EditBox@@QAEXXZ on this+0x1CF8 at 0x00407F70
absent,FileWin,0x2844,Time,0x28 bytes,??1FileWin@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x2844 at 0x00407F7F
absent,FileWin,0x286C,ListBox,0xB54 bytes,??0FileWin@@QAE@XZ: call ??0ListBox@@QAE@H@Z on this+0x286C at 0x006138A7
absent,FileWin,0x28B4,ListBox,0xB54 bytes,??1FileWin@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0x28B4 at 0x00407F3A
absent,FileWin,0x32CC,Dialog,0xF4 bytes,??1FileWin@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x32CC at 0x00407F45
base,FlatButton,0x0,BaseButton,"src/ bases: ['BaseButton', 'GraphicWin', 'Win']",??1FlatButton@@QAE@XZ: call ??1BaseButton@@QAE@XZ on this+0x0 at 0x004068C4
agreed,FlatButton,0xA1C,Time,BaseButton::time1_ 0x28,?close@FlatButton@@QAEXXZ: call ?close@Time@@QAEXXZ on this+0xA1C at 0x00607DAA
agreed,Flic,0x4,Buffer,buffer_ 0x588,??1Flic@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0x4 at 0x004327E4
mistyped,Flic,0x5BC,Palette,"declared `Palette * palette_`, 0x4 bytes against 0x454",??1Flic@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0x5BC at 0x004327D5
base,GAmbience,0x0,Ambience,src/ bases: ['Ambience'],??0GAmbience@@QAE@XZ: call ??0Ambience@@QAE@XZ on this+0x0 at 0x00447B93
base,Gamma,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??1Gamma@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x0045625F
agreed,Gamma,0xA68,Palette,palette_ 0x454,??1Gamma@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0xA68 at 0x00456251
agreed,Gamma,0xEBC,Font,font_ 0x28,??1Gamma@@QAE@XZ: call ??1Font@@QAE@XZ on this+0xEBC at 0x00456242
agreed,Gamma,0xEF0,Scroll,scroll_ 0x214C,??1Gamma@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0xEF0 at 0x004561CA
absent,Gamma,0x199C,FlatButton,0xB4C bytes,??1Gamma@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x199C at 0x0045621D
absent,Gamma,0x24E8,FlatButton,0xB4C bytes,??1Gamma@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x24E8 at 0x004561EE
agreed,Gamma,0x303C,EditBox,editBox_ 0xB74,??1Gamma@@QAE@XZ: call ?close@EditBox@@QAEXXZ on this+0x303C at 0x0045618C
absent,Gamma,0x3B88,Time,0x28 bytes,??1Gamma@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x3B88 at 0x0045619B
agreed,Gamma,0x3BB0,PushButton,pushButton1_ 0xB00,??1Gamma@@QAE@XZ: call ??1PushButton@@QAE@XZ on this+0x3BB0 at 0x00456168
mistyped,Gamma,0x46B0,PushButton,"declared `uint8_t field_46B0_`, 0x4 bytes against 0xB00",??1Gamma@@QAE@XZ: call ??1PushButton@@QAE@XZ on this+0x46B0 at 0x00456159
base,GraphicWin,0x0,Win,src/ bases: ['Win'],??0GraphicWin@@QAE@XZ: call ??0Win@@QAE@XZ on this+0x0 at 0x005D4D0F
agreed,GraphicWin,0x444,Buffer,buffer_ 0x588,??0GraphicWin@@QAE@XZ: call ??0Buffer@@QAE@XZ on this+0x444 at 0x005D4D22
at-zero,ImageButton,0x0,BaseButton,src/ bases: [],??0ImageButton@@QAE@XZ: call ??0BaseButton@@QAE@XZ on this+0x0 at 0x006252E3
absent,InfoWin,0x30,Time,0x28 bytes,??1InfoWin@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x30 at 0x004594E7
absent,InfoWin,0x58,Font,0x28 bytes,??1InfoWin@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x58 at 0x004594D8
absent,InfoWin,0x9D0,PushButton,0xB00 bytes,??1InfoWin@@QAE@XZ: call ??1PushButton@@QAE@XZ on this+0x9D0 at 0x004594CC
at-zero,Interlude,0x0,GraphicWin,src/ bases: [],??0Interlude@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x0045F227
agreed,Interlude,0xA54,Buffer,buffer_ 0x588,??0Interlude@@QAE@XZ: call ??0Buffer@@QAE@XZ on this+0xA54 at 0x0045F2B8
agreed,ListBox,0x48,GraphicWin,virtual_base_ 0xA14,??0ListBox@@QAE@H@Z: call ??0GraphicWin@@QAE@XZ on this+0x48 at 0x00609DE7
agreed,ListBox,0xA60,Dialog,dialog_ 0xF4,??0ListBox@@QAE@H@Z: call ??0Dialog@@QAE@XZ on this+0xA60 at 0x00609DFE
base,MAmbience,0x0,Ambience,src/ bases: ['Ambience'],??0MAmbience@@QAE@XZ: call ??0Ambience@@QAE@XZ on this+0x0 at 0x00447313
agreed,MCIVideo,0x10,Palette,palette_ 0x454,??1MCIVideo@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0x10 at 0x004042F5
base,MainInterface,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??1MainInterface@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x0045EEF4
