address,name,shape
0x00443E30,?on_iface_button_toggled@DiploWin@@QAEXHH@Z,straight_line
0x00443E40,?on_iface_dialog_back_draw@DiploWin@@QAEHH@Z,straight_line
0x00445080,??_GDiploWin@@UAEPAXI@Z,straight_line
0x00445120,??3DiploWin@@SAXPAXI@Z,loop
0x00445440,?energy_limit@@YAHH@Z,straight_line
0x00445450,??__Eg_CPU_WAVES@@YAXXZ,seam_forwarding
0x00445480,??__Fg_CPU_WAVES@@YAXXZ,seam_forwarding
0x004454A0,??__Eg_MENU_UP_WAVE@@YAXXZ,seam_forwarding
0x004454C0,??__Fg_MENU_UP_WAVE@@YAXXZ,seam_forwarding
0x004454D0,??__Eg_MENU_DOWN_WAVE@@YAXXZ,seam_forwarding
0x004454F0,??__Fg_MENU_DOWN_WAVE@@YAXXZ,seam_forwarding
0x00445500,??__Eg_SCOOT_WAVE@@YAXXZ,seam_forwarding
0x00445520,??__Fg_SCOOT_WAVE@@YAXXZ,seam_forwarding
0x00445530,??__Eg_OK_WAVE@@YAXXZ,seam_forwarding
0x00445550,??__Fg_OK_WAVE@@YAXXZ,seam_forwarding
0x00445560,??__Eg_PASSOVER_WAVE@@YAXXZ,seam_forwarding
0x00445580,??__Fg_PASSOVER_WAVE@@YAXXZ,seam_forwarding
0x00445590,??__Eg_FX@@YAXXZ,seam_forwarding
0x004455B0,??__Fg_FX@@YAXXZ,seam_forwarding
0x004455C0,??__Eg_AMBIENCE@@YAXXZ,seam_forwarding
0x004455E0,??__Fg_AMBIENCE@@YAXXZ,seam_forwarding
0x004456A0,?passover_callback@@YAXXZ,straight_line
0x004456B0,?popup_wave_callback@@YAXPAUPopupWave@@H@Z,straight_line
0x004471F0,??0FactionAmbience@@QAE@XZ,straight_line
0x00447220,?begin@FactionAmbience@@QAEXXZ,straight_line
0x00447230,?tech@FactionAmbience@@QAEXXZ,straight_line
0x00447240,?terraform@FactionAmbience@@QAEXXZ,straight_line
0x00447250,?production@FactionAmbience@@QAEXXZ,straight_line
0x00447260,?general@FactionAmbience@@QAEXXZ,straight_line
0x00447270,?basewin_show@FactionAmbience@@QAEXXZ,straight_line
0x00447280,?basewin_hide@FactionAmbience@@QAEXXZ,straight_line
0x00447290,?design_window_show@FactionAmbience@@QAEXXZ,straight_line
0x004472A0,?design_window_hide@FactionAmbience@@QAEXXZ,straight_line
0x004472B0,?new_base@FactionAmbience@@QAEXXZ,straight_line
0x004472C0,?popup1@FactionAmbience@@QAEXXZ,straight_line
0x004472D0,?eot@FactionAmbience@@QAEXXZ,straight_line
0x004472E0,?hostility@FactionAmbience@@QAEXXZ,straight_line
0x004472F0,?energy_resources@FactionAmbience@@QAEXXZ,straight_line
0x00447300,?base_liberated@FactionAmbience@@QAEXXZ,straight_line
0x00447310,??0MAmbience@@QAE@XZ,straight_line
0x00447690,?tech@UAmbience@@QAEXXZ,straight_line
0x004476A0,?popup1@UAmbience@@QAEXXZ,straight_line
0x004476B0,?eot@UAmbience@@QAEXXZ,straight_line
0x004476E0,?tech@SAmbience@@QAEXXZ,straight_line
0x00447850,??0SAmbience@@QAE@XZ,straight_line
0x00447AB0,?design_window_show@BAmbience@@QAEXXZ,straight_line
0x00447B90,??0GAmbience@@QAE@XZ,straight_line
0x00447BE0,?basewin_show@GAmbience@@QAEXXZ,straight_line
0x00447BF0,?basewin_hide@GAmbience@@QAEXXZ,straight_line
0x00447C60,?tech@GAmbience@@QAEXXZ,straight_line
0x00447CA0,?production@GAmbience@@QAEXXZ,straight_line
0x00447CB0,?popup1@GAmbience@@QAEXXZ,straight_line
0x00447CC0,?eot@GAmbience@@QAEXXZ,straight_line
0x00448280,?tech@AAmbience@@QAEXXZ,straight_line
0x00448290,??1FX@@QAE@XZ,straight_line
0x004482A0,??0FX@@QAE@XZ,straight_line
0x004482F0,sub_4482f0,straight_line
0x00448310,sub_448310,straight_line
0x00448320,sub_448320,straight_line
0x00448330,sub_448330,straight_line
0x00448350,??_GEffect@@UAEPAXI@Z,straight_line
0x00448380,sub_448380,straight_line
0x00448390,sub_448390,straight_line
0x004483D0,??__Eg_FAMEWIN@@YAXXZ,seam_forwarding
0x004483F0,??__Fg_FAMEWIN@@YAXXZ,seam_forwarding
0x0044B300,??_GFameWin@@UAEPAXI@Z,straight_line
