struct,offset,field,size
BaseWindow,0xF18,field_F18,4
BaseWindow,0xF1C,field_F1C,4
BaseWindow,0xF20,field_F20,4
BaseWindow,0xF24,field_F24,4
BaseWindow,0xF28,field_F28,4
BaseWindow,0xF2C,field_F2C,4
BaseWindow,0xF30,field_F30,4
BaseWindow,0xF34,field_F34,4
BaseWindow,0xF38,field_F38,4
BaseWindow,0xF3C,field_F3C,4
BaseWindow,0xF40,field_F40,4
BaseWindow,0xF44,field_F44,4
BaseWindow,0xF48,field_F48,4
BaseWindow,0xF4C,field_F4C,4
BaseWindow,0xF50,field_F50,4
BaseWindow,0xF54,field_F54,4
BaseWindow,0xF58,field_F58,4
BaseWindow,0xF5C,field_F5C,4
BaseWindow,0xF60,field_F60,4
BaseWindow,0xF64,field_F64,4
BaseWindow,0xF68,field_F68,4
BaseWindow,0xF6C,field_F6C,4
BaseWindow,0xF70,field_F70,4
BaseWindow,0xF74,field_F74,4
BaseWindow,0xF78,field_F78,4
BaseWindow,0xF7C,field_F7C,4
BaseWindow,0xF80,field_F80,4
BaseWindow,0xF84,field_F84,4
BaseWindow,0xF88,field_F88,4
BaseWindow,0xF8C,field_F8C,4
BaseWindow,0xF90,field_F90,4
BaseWindow,0xF94,field_F94,4
BaseWindow,0xF98,field_F98,4
BaseWindow,0xF9C,field_F9C,4
BaseWindow,0xFA0,field_FA0,4
BaseWindow,0xFA4,field_FA4,4
BaseWindow,0xFA8,field_FA8,4
BaseWindow,0xFAC,field_FAC,4
BaseWindow,0xFB0,field_FB0,4
BaseWindow,0xFB4,field_FB4,4
BaseWindow,0xFB8,field_FB8,4
BaseWindow,0xFBC,field_FBC,4
